,0
0,2153046026
1,2153060378
2,2153052200
3,2153058381
4,2153054288
5,2153064528
6,2153050195
7,2153052246
8,2153062489
9,2153048155
10,2153050204
11,2153058397
12,2153072734
13,2153064547
14,2153062508
15,2153048175
16,2153050225
17,2153046142
18,2153076867
19,2153066627
20,2153046147
21,2153052295
22,2153052297
23,2153052300
24,2153066645
25,2153048215
26,2153048216
27,2153050269
28,2153058462
29,2153062562
30,2153046179
31,2153058468
32,2153046190
33,2153058486
34,2153048250
35,2153064637
36,2153054398
37,2153054399
38,2153058501
39,2153062598
40,2153056453
41,2153054407
42,2153050310
43,2153064650
44,2153050312
45,2153060560
46,2153052370
47,2153046227
48,2153060578
49,2153058533
50,2153048294
51,2153046247
52,2153048297
53,2153060595
54,2153048308
55,2153066744
56,2153050362
57,2153050375
58,2153060620
59,2153048332
60,2153081110
61,2153050391
62,2153050390
63,2153066777
64,2153048343
65,2153054494
66,2153048357
67,2153060647
68,2153048359
69,2153050411
70,2153050412
71,2153056567
72,2153052471
73,2153046330
74,2153052475
75,2153048393
76,2153050443
77,2153048396
78,2153050451
79,2153050459
80,2153052520
81,2153046376
82,2153052524
83,2153048433
84,2153060722
85,2153046388
86,2153062783
87,2153052546
88,2153050498
89,2153056644
90,2153050501
91,2153048451
92,2153056660
93,2153048480
94,2153056678
95,2153052587
96,2153073070
97,2153050547
98,2153064896
99,2153060800
100,2153056710
101,2153048518
102,2153056713
103,2153066954
104,2153050571
105,2153062863
106,2153060818
107,2153046482
108,2153056737
109,2153050594
110,2153048548
111,2153052646
112,2153054700
113,2153054702
114,2153062916
115,2153056777
116,2153060881
117,2153052696
118,2153048604
119,2153062947
120,2153046563
121,2153058856
122,2153048617
123,2153060907
124,2153065008
125,2153050672
126,2153056820
127,2153048630
128,2153067063
129,2153058876
130,2153058877
131,2153048642
132,2153046610
133,2153046615
134,2153054819
135,2153083498
136,2153056879
137,2153058931
138,2153058932
139,2153048695
140,2153054848
141,2153048705
142,2153046660
143,2153052811
144,2153050769
145,2153050776
146,2153050779
147,2153048741
148,2153052838
149,2153052847
150,2153067188
151,2153046719
152,2153052868
153,2153059019
154,2153048780
155,2153052877
156,2153052878
157,2153046737
158,2153048786
159,2153052883
160,2153048789
161,2153046746
162,2153061084
163,2153054941
164,2153050861
165,2153065199
166,2153048823
167,2153059064
168,2153054969
169,2153059067
170,2153046795
171,2153065231
172,2153048848
173,2153059091
174,2153061140
175,2153059093
176,2153050903
177,2153046807
178,2153059097
179,2153050911
180,2153050918
181,2153048874
182,2153046827
183,2153067308
184,2153055022
185,2153052976
186,2153063221
187,2153055038
188,2153067330
189,2153046855
190,2153046858
191,2153055056
192,2153046868
193,2153046878
194,2153044831
195,2153065318
196,2153044843
197,2153061230
198,2153065330
199,2153048948
200,2153046901
201,2153059194
202,2153053051
203,2153044859
204,2153053056
205,2153044866
206,2153053059
207,2153048965
208,2153044869
209,2153046925
210,2153051025
211,2153065363
212,2153048982
213,2153048984
214,2153057178
215,2153069470
216,2153046943
217,2153065379
218,2153051045
219,2153051046
220,2153059240
221,2153069481
222,2153051050
223,2153051051
224,2153049002
225,2153046965
226,2153059259
227,2153059260
228,2153057213
229,2153061327
230,2153061328
231,2153049049
232,2153059293
233,2153047006
234,2153049055
235,2153055202
236,2153047012
237,2153049072
238,2153047026
239,2153044978
240,2153053174
241,2153053182
242,2153045000
243,2153059342
244,2153053200
245,2153049104
246,2153057298
247,2153047060
248,2153045015
249,2153047064
250,2153063450
251,2153045020
252,2153065501
253,2153061407
254,2153047081
255,2153055278
256,2153057334
257,2153051190
258,2153049142
259,2153047095
260,2153045056
261,2153047106
262,2153049157
263,2153051208
264,2153047114
265,2153047119
266,2153045079
267,2153045081
268,2153073763
269,2153047144
270,2153047145
271,2153057388
272,2153049201
273,2153053299
274,2153047158
275,2153055353
276,2153069697
277,2153045122
278,2153055364
279,2153051274
280,2153059468
281,2153047181
282,2153055374
283,2153045138
284,2153053335
285,2153051290
286,2153073823
287,2153063591
288,2153047209
289,2153047210
290,2153045167
291,2153049267
292,2153053374
293,2153061567
294,2153053375
295,2153051332
296,2153045192
297,2153051342
298,2153049295
299,2153057490
300,2153053395
301,2153047257
302,2153045211
303,2153073894
304,2153047272
305,2153055472
306,2153055476
307,2153049347
308,2153049348
309,2153045254
310,2153045257
311,2153053451
312,2153057558
313,2153045275
314,2153045287
315,2153049388
316,2153067832
317,2153047355
318,2153065788
319,2153053509
320,2153047366
321,2153045323
322,2153045325
